"district","PVI","incumbent","clinton_vote","clinton_pct","trump_vote","trump_pct"
"KS-04","R+15","Ron Estes (R)","90541","32.8%","165266","59.8%"
"KY-01","R+23","James Comer (R)","74179","23.9%","224657","72.4%"
"KY-02","R+19","Brett Guthrie (R)","89563","27.6%","219152","67.5%"
"KY-03","D+6","John Yarmuth (D)","186550","54.9%","135715","39.9%"
"KY-04","R+18","Thomas Massie (R)","98663","29.2%","219748","65.1%"
"KY-05","R+31","Hal Rogers (R)","48628","17.5%","221558","79.6%"
"KY-06","R+9","Andy Barr (R)","131271","39.4%","182141","54.7%"
"LA-01","R+24","Steve Scalise (R)","95170","26.8%","244904","69.0%"
"LA-02","D+25","Cedric Richmond (D)","247491","75.1%","73778","22.4%"
"LA-03","R+20","Clay Higgins (R)","100241","29.2%","231012","67.3%"
"LA-04","R+13","Mike Johnson (R)","116585","36.6%","192971","60.6%"
"LA-05","R+15","Ralph Abraham (R)","110259","34.1%","205255","63.5%"
"LA-06","R+19","Garret Graves (R)","110394","31.3%","230701","65.3%"
"MA-01","D+12","Richard Neal (D)","194036","56.3%","123953","36.0%"
"MA-02","D+9","Jim McGovern (D)","197492","55.3%","129437","36.2%"
"MA-03","D+9","Lori Trahan (D)","202952","57.3%","123347","34.8%"
"MA-04","D+9","Joe Kennedy (D)","225976","58.1%","133705","34.4%"
"MA-05","D+18","Katherine Clark (D)","258908","68.2%","95922","25.3%"
"MA-06","D+6","Seth Moulton (D)","224858","55.1%","153244","37.6%"
"MA-07","D+34","Ayanna Pressley (D)","254037","83.0%","36018","11.8%"
"MA-08","D+10","Stephen Lynch (D)","231356","59.5%","131624","33.8%"
"MA-09","D+4","Bill Keating (D)","205581","51.7%","163643","41.2%"
"MD-01","R+14","Andy Harris (R)","128570","34.9%","220826","60.0%"
"MD-02","D+11","Dutch Ruppersberger (D)","182242","58.1%","116574","37.2%"
"MD-03","D+13","John Sarbanes (D)","217028","62.8%","110308","31.9%"
"MD-04","D+28","Anthony Brown (D)","250208","76.8%","64193","19.7%"
"MD-05","D+16","Steny Hoyer (D)","236864","64.9%","113484","31.1%"
"MD-06","D+6","David Trone (D)","186243","55.2%","134142","39.8%"
"MD-07","D+26","Elijah Cummings (D)","239853","74.0%","69747","21.5%"
"MD-08","D+14","Jamie Raskin (D)","236920","64.2%","113896","30.9%"
"ME-01","D+8","Chellie Pingree (D)","212774","54.0%","154384","39.2%"
"ME-02","R+2","Jared Golden (D)","144817","41.0%","181177","51.3%"
"MI-01","R+9","Jack Bergman (R)","133237","36.5%","210822","57.8%"
"MI-02","R+9","Bill Huizenga (R)","132462","37.8%","193198","55.1%"
"MI-03","R+6","Justin Amash (R)","147330","42.1%","180345","51.6%"
"MI-04","R+10","John Moolenaar (R)","113817","34.6%","195302","59.4%"
"MI-05","D+5","Daniel Kildee (D)","162963","49.7%","148974","45.4%"
"MI-06","R+4","Fred Upton (R)","142305","42.8%","170314","51.2%"
"MI-07","R+7","Tim Walberg (R)","131568","38.6%","189657","55.6%"
"MI-08","R+4","Elissa Slotkin (D)","165354","43.8%","190654","50.5%"
"MI-09","D+4","Andy Levin (D)","182538","51.4%","155131","43.7%"
"MI-10","R+13","Paul Mitchell (R)","113064","31.6%","228169","63.8%"
"MI-11","R+4","Haley Stevens (D)","176772","45.0%","193948","49.4%"
"MI-12","D+14","Debbie Dingell (D)","205937","60.6%","116739","34.3%"
"MI-13","D+32","Rashida Tlaib (D)","209105","78.8%","48111","18.1%"
"MI-14","D+30","Brenda Lawrence (D)","252387","79.1%","58179","18.2%"
"MN-01","R+5","Jim Hagedorn (R)","130831","38.1%","181647","52.8%"
"MN-02","R+2","Angie Craig (D)","171287","44.9%","175807","46.1%"
"MN-03","D+1","Dean Phillips (D)","201833","50.2%","164259","40.9%"
"MN-04","D+14","Betty McCollum (D)","223803","60.9%","111163","30.2%"
"MN-05","D+26","Ilhan Omar (D)","273402","73.0%","68535","18.3%"
"MN-06","R+12","Tom Emmer (R)","123329","33.0%","218546","58.4%"
"MN-07","R+12","Collin Peterson (D)","104566","30.8%","208215","61.4%"
"MN-08","R+4","Pete Stauber (R)","138665","38.3%","194779","53.8%"
"MO-01","D+29","Lacy Clay (D)","246103","76.8%","60135","18.8%"
"MO-02","R+8","Ann Wagner (R)","177649","42.1%","221152","52.5%"
"MO-03","R+18","Blaine Luetkemeyer (R)","106127","28.0%","253836","67.0%"
"MO-04","R+17","Vicky Hartzler (R)","99867","29.3%","222149","65.1%"
"MO-05","D+7","Emanuel Cleaver (D)","178735","54.6%","130383","39.8%"
"MO-06","R+16","Sam Graves (R)","111070","31.1%","226405","63.4%"
"MO-07","R+23","Billy Long (R)","84393","24.6%","240622","70.1%"
"MO-08","R+24","Jason Smith (R)","67123","21.1%","239829","75.3%"
"MS-01","R+16","Trent Kelly (R)","100748","32.4%","203164","65.4%"
"MS-02","D+14","Bennie Thompson (D)","185213","63.6%","102384","35.1%"
"MS-03","R+13","Michael Guest (R)","119125","36.8%","198514","61.3%"
"MS-04","R+21","Steven Palazzo (R)","80045","28.2%","196652","69.4%"
"MT-AL","R+11","Greg Gianforte (R)","177709","35.7%","279240","56.2%"
"NC-01","D+17","G.K. Butterfield (D)","237020","65.9%","111804","31.1%"
"NC-02","R+7","George Holding (R)","179123","44.6%","204225","50.9%"
"NC-03","R+12","VACANT (Jones) (R)","122550","37.0%","197447","59.6%"
"NC-04","D+17","David Price (D)","276030","65.7%","121938","29.0%"
"NC-05","R+10","Virginia Foxx (R)","142373","39.2%","205321","56.6%"
"NC-06","R+9","Mark Walker (R)","148687","41.0%","201390","55.6%"
"NC-07","R+9","David Rouzer (R)","143255","39.6%","205699","56.9%"
"NC-08","R+8","Richard Hudson (R)","136252","40.7%","185882","55.5%"
"NC-09","R+8","()","147301","42.4%","185859","53.5%"
"NC-10","R+12","Patrick McHenry (R)","128359","35.7%","217624","60.5%"
"NC-11","R+14","Mark Meadows (R)","124696","33.7%","229192","62.0%"
"NC-12","D+18","Alma Adams (D)","243640","67.2%","102101","28.2%"
"NC-13","R+6","Ted Budd (R)","160034","43.5%","194153","52.7%"
"ND-AL","R+16","Kelly Armstrong (R)","93758","27.2%","216794","63.0%"
"NE-01","R+11","Jeff Fortenberry (R)","100132","35.5%","158642","56.2%"
"NE-02","R+4","Don Bacon (R)","131030","44.9%","137564","47.2%"
"NE-03","R+27","Adrian Smith (R)","53332","19.7%","199755","73.9%"
"NH-01","R+2","Chris Pappas (D)","173344","45.9%","179259","47.5%"
"NH-02","D+2","Annie Kuster (D)","175182","47.8%","166531","45.4%"
"NJ-01","D+13","Donald Norcross (D)","199386","60.6%","118880","36.1%"
"NJ-02","R+1","Jeff Van Drew (D)","147656","46.0%","162486","50.6%"
"NJ-03","R+2","Andy Kim (D)","165090","45.2%","187703","51.4%"
"NJ-04","R+8","Chris Smith (R)","146191","41.0%","198859","55.8%"
"NJ-05","R+3","Josh Gottheimer (D)","173964","47.7%","178058","48.8%"
"NJ-06","D+9","Frank Pallone (D)","162864","56.2%","117671","40.6%"
"NJ-07","R+3","Tom Malinowski (D)","180572","48.6%","176396","47.5%"
"NJ-08","D+27","Albio Sires (D)","173966","75.7%","49410","21.5%"
"NJ-09","D+16","Bill Pascrell (D)","177822","64.3%","91622","33.1%"
"NJ-10","D+36","Donald Payne Jr. (D)","233822","85.2%","35111","12.8%"
"NJ-11","R+3","Mikie Sherrill (D)","182291","47.9%","185686","48.8%"
"NJ-12","D+16","Bonnie Watson Coleman (D)","204654","65.0%","100051","31.8%"
"NM-01","D+7","Deb Haaland (D)","147250","51.6%","100132","35.1%"
"NM-02","R+6","Xochitl Torres Small (D)","93363","39.9%","117211","50.1%"
"NM-03","D+8","Ben R. Lujan (D)","144621","51.8%","102323","36.7%"
"NV-01","D+15","Dina Titus (D)","121321","61.6%","64234","32.6%"
